127.0.0.1, 2018-09-26 09:44:00, GET, /, HTTP/1.1, 303, 0.004009
127.0.0.1, 2018-09-26 09:44:00, GET, /welcome/default/index, HTTP/1.1, 200, 0.261209
127.0.0.1, 2018-09-26 09:44:00, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000974
127.0.0.1, 2018-09-26 09:44:00, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001586
127.0.0.1, 2018-09-26 09:44:00, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002160
127.0.0.1, 2018-09-26 09:44:00, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002120
127.0.0.1, 2018-09-26 09:44:00, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001093
127.0.0.1, 2018-09-26 09:44:00, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003278
127.0.0.1, 2018-09-26 09:44:00, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.005831
127.0.0.1, 2018-09-26 09:44:00, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001683
127.0.0.1, 2018-09-26 09:44:00, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.002542
127.0.0.1, 2018-09-26 09:44:00, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000431
127.0.0.1, 2018-09-26 09:44:45, GET, /start/, HTTP/1.1, 200, 0.124942
127.0.0.1, 2018-09-26 09:44:45, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.000675
127.0.0.1, 2018-09-26 09:44:45, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.000538
127.0.0.1, 2018-09-26 09:44:45, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001671
127.0.0.1, 2018-09-26 09:44:45, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.006044
127.0.0.1, 2018-09-26 09:44:45, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.005182
127.0.0.1, 2018-09-26 09:44:45, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.005249
127.0.0.1, 2018-09-26 09:44:45, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000566
127.0.0.1, 2018-09-26 09:44:45, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.001603
127.0.0.1, 2018-09-26 09:44:45, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.007013
127.0.0.1, 2018-09-26 09:44:45, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.002199
127.0.0.1, 2018-09-26 09:44:45, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.003383
127.0.0.1, 2018-09-26 09:44:45, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000397
127.0.0.1, 2018-09-26 09:44:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000292
127.0.0.1, 2018-09-26 09:44:50, GET, /start/, HTTP/1.1, 200, 0.031277
127.0.0.1, 2018-09-26 09:44:54, GET, /admin/default/site, HTTP/1.1, 303, 0.157118
127.0.0.1, 2018-09-26 09:44:54, GET, /admin/default/index, HTTP/1.1, 200, 0.032724
127.0.0.1, 2018-09-26 09:44:54, GET, /admin/static/_2.17.1/js/jquery.js, HTTP/1.1, 200, 0.001573
127.0.0.1, 2018-09-26 09:44:54, GET, /admin/static/_2.17.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001499
127.0.0.1, 2018-09-26 09:44:54, GET, /admin/static/_2.17.1/css/calendar.css, HTTP/1.1, 200, 0.001890
127.0.0.1, 2018-09-26 09:44:54, GET, /admin/static/_2.17.1/js/web2py.js, HTTP/1.1, 200, 0.001287
127.0.0.1, 2018-09-26 09:44:54, GET, /admin/static/_2.17.1/js/calendar.js, HTTP/1.1, 200, 0.003561
127.0.0.1, 2018-09-26 09:44:54, GET, /admin/static/_2.17.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000967
127.0.0.1, 2018-09-26 09:44:54, GET, /admin/static/_2.17.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001671
127.0.0.1, 2018-09-26 09:44:54, GET, /admin/static/_2.17.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001184
127.0.0.1, 2018-09-26 09:44:54, GET, /admin/static/_2.17.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001998
127.0.0.1, 2018-09-26 09:44:54, GET, /admin/static/_2.17.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.002732
127.0.0.1, 2018-09-26 09:44:54, GET, /admin/static/_2.17.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001272
127.0.0.1, 2018-09-26 09:44:54, GET, /admin/static/_2.17.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.003886
127.0.0.1, 2018-09-26 09:44:54, GET, /admin/static/_2.17.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.001441
127.0.0.1, 2018-09-26 09:44:54, GET, /admin/static/_2.17.1/images/questions.png, HTTP/1.1, 200, 0.001019
127.0.0.1, 2018-09-26 09:44:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000192
127.0.0.1, 2018-09-26 09:44:58, POST, /admin/default/index, HTTP/1.1, 303, 0.013253
127.0.0.1, 2018-09-26 09:44:58, GET, /admin/default/site, HTTP/1.1, 200, 0.057826
127.0.0.1, 2018-09-26 09:44:58, GET, /admin/static/_2.17.1/images/folder_locked.png, HTTP/1.1, 200, 0.000607
127.0.0.1, 2018-09-26 09:44:58, GET, /admin/static/_2.17.1/images/folder.png, HTTP/1.1, 200, 0.003861
127.0.0.1, 2018-09-26 09:44:58, GET, /admin/static/_2.17.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.002311
127.0.0.1, 2018-09-26 09:44:58, POST, /admin/default/check_version, HTTP/1.1, 200, 0.245107
127.0.0.1, 2018-09-26 09:44:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000225
127.0.0.1, 2018-09-26 09:45:26, GET, /admin/default/logout, HTTP/1.1, 303, 0.022940
127.0.0.1, 2018-09-26 09:45:26, GET, /admin/default/index, HTTP/1.1, 200, 0.011983
127.0.0.1, 2018-09-26 09:45:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000227
127.0.0.1, 2018-09-26 09:45:29, GET, /admin/default/index, HTTP/1.1, 200, 0.012646
127.0.0.1, 2018-09-26 09:45:32, GET, /admin/default/index, HTTP/1.1, 200, 0.011943
127.0.0.1, 2018-09-26 09:45:34, GET, /, HTTP/1.1, 303, 0.000447
127.0.0.1, 2018-09-26 09:45:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.021520
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001749
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.002055
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.004706
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.001076
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000936
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.002279
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.002587
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.002161
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.002562
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.003187
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000497
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.001229
127.0.0.1, 2018-09-26 09:45:35, GET, /start/, HTTP/1.1, 200, 0.041134
127.0.0.1, 2018-09-26 09:45:35, GET, /start/, HTTP/1.1, 200, 0.026662
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.003979
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001900
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.002310
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.001534
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.002958
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.006583
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.002798
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001581
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.002737
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.004177
